,除權除息日期,股票代號,名稱,除權息,無償配股率,現金增資配股率,現金增資認購價,現金股利,詳細資料,參考價試算,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
26,112年06月27日,1437,勤益控,息,0.00000000,0.00000000,0.00000000,0.80000000,"1437,20230627",",0.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),35.20,0.62
27,112年07月13日,1440,南紡,息,0.00000000,0.00000000,0.00000000,0.35000000,"1440,20230713",",0.35000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),16.12,-0.29
28,112年06月30日,1445,大宇,息,0.00000000,0.00000000,0.00000000,0.10000000,"1445,20230630",",0.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),12.60,0.12
29,112年07月06日,1455,集盛,息,0.00000000,0.00000000,0.00000000,0.10000000,"1455,20230706",",0.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),12.35,-0.08
30,112年06月19日,1457,宜進,息,0.00000000,0.00000000,0.00000000,1.00000000,"1457,20230619",",1.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),22.09,0.11
31,112年06月15日,1476,儒鴻,息,0.00000000,0.00000000,0.00000000,17.00000000,"1476,20230615",",17.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),77.47,3.01
32,112年06月15日,1504,東元,息,0.00000000,0.00000000,0.00000000,1.50000000,"1504,20230615",",1.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),40.37,0.78
33,112年06月19日,1526,日馳,息,0.00000000,0.00000000,0.00000000,1.60000000,"1526,20230619",",1.60000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),24.67,0.76
34,112年06月19日,1611,中電,息,0.00000000,0.00000000,0.00000000,0.30000000,"1611,20230619",",0.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),13.30,0.12
35,112年06月20日,1707,葡萄王,息,0.00000000,0.00000000,0.00000000,6.90000000,"1707,20230620",",6.90000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),66.53,1.89
36,112年07月06日,1708,東鹼,息,0.00000000,0.00000000,0.00000000,3.00000000,"1708,20230706",",3.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),25.02,-0.55
37,112年07月04日,1710,東聯,息,0.00000000,0.00000000,0.00000000,0.20000000,"1710,20230704",",0.20000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),14.53,0.72
38,112年06月15日,1711,永光,息,0.00000000,0.00000000,0.00000000,0.35000000,"1711,20230615",",0.35000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),15.38,0.07
39,112年06月27日,1731,美吾華,息,0.00000000,0.00000000,0.00000000,1.10000000,"1731,20230627",",1.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),15.46,0.40
40,112年06月15日,1733,五鼎,息,0.00000000,0.00000000,0.00000000,1.40000000,"1733,20230615",",1.40000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),17.14,0.36
41,112年06月20日,1752,南光,息,0.00000000,0.00000000,0.00000000,2.30000000,"1752,20230620",",2.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),24.80,0.93
42,112年06月20日,1776,展宇,息,0.00000000,0.00000000,0.00000000,0.60000000,"1776,20230620",",0.60000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),14.45,0.08
43,112年07月06日,1789,神隆,息,0.00000000,0.00000000,0.00000000,0.36000000,"1789,20230706",",0.36000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),13.23,0.05
44,112年06月28日,1817,凱撒衛,息,0.00000000,0.00000000,0.00000000,2.30000000,"1817,20230628",",2.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),28.15,0.46
45,112年06月27日,1904,正隆,息,0.00000000,0.00000000,0.00000000,1.10000000,"1904,20230627",",1.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),24.98,0.31
